,titulo,data,horario,genero_ano,sinopse
80,Guard Dog & Bill Plympton no Brasil,2025-04-24,15:25,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
81,Inabitável,2025-04-24,15:30,Drama / 2020 / 4.0,"Marilene procura por sua filha Roberta, uma mulher trans que esta desaparecida. Enquanto corre contra o tempo, ela descobre uma esperança para o futuro."
82,Histórias em Quadrinhos,2025-04-24,15:50,Documentary / 1969,"Primeiro documentário em curta-metragem de Sganzerla. Guiada pelo texto do especialista Álvaro de Moya, a câmera passeia pelos traços de artistas como Will Eisner, Milton Cannif, Alex Raymond, Al Capp etc."
83,Guard Dog & Bill Plympton no Brasil,2025-04-24,16:00,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
84,Bandeira de Retalhos,2025-04-24,16:10,Drama / 2018 / 5.7,"Em 1977, no Morro do Vidigal, Rio de Janeiro, os moradores da comunidade são surpreendidos pela ordem arbitrária da prefeitura de desapropriar os barracos do local, alegando risco de deslizamento. A real intenção, porém, é outra."
85,Favela do Papa,2025-04-24,17:40,Documentary / 2024,"Um capítulo crucial da história do Rio de Janeiro na década de 1970: a resistência dos moradores da Favela do Vidigal contra a ordem de remoção imposta pelo governo. A produção resgata imagens de época e entrevistas que revelam a luta intensa da comunidade, apoiada por diversas entidades e personalidades influentes. Essa resistência se insere em um contexto maior, expondo a política de remoção em grande escala praticada pelos governos estaduais brasileiros na década de 1960."
86,Maputo Nakuzandza,2025-04-24,19:00,Drama / 2022,"Na capital de Moçambique, jovens saem de uma festa e nos quintais senhoras iniciam o dia. Um homem corre, um turista passeia, um trabalhador apanha o transporte e a rádio Maputo Nakuzandza anuncia o desaparecimento de uma noiva."
87,Livre Pensar - Cinebiografia da Maria da Conceição Tavares,2025-04-24,20:15,Special,"Conceição Tavares é uma das vozes mais contundentes, críticas e originais do pensamento econômico brasileiro. Conheça a sua vida e obra pela lente de José Mariani."
88,Amarelo Manga,2025-04-24,21:35,Drama / 2002,"Na cidade de Recife, pessoas mergulham em um universo feito de armadilhas e vinganças, de desejos irrealizáveis e da busca incessante da felicidade: um açougueiro que mantém uma amante apesar de louvar sua mulher evangélica; a fascinação de um necrófilo pela dona de um bar; e um homossexual que sonha em conquistar o açougueiro."
89,Guard Dog & Bill Plympton no Brasil,2025-04-24,23:15,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
